created_at,entry_id,field5
2025-03-30 23:04:39 UTC,318926,66.006
2025-03-30 23:16:40 UTC,318927,66.261
2025-03-30 23:28:41 UTC,318928,66.402
2025-03-30 23:40:43 UTC,318929,66.877
2025-03-30 23:52:44 UTC,318930,66.862
2025-03-31 00:04:46 UTC,318931,66.709
2025-03-31 00:16:47 UTC,318932,66.413
2025-03-31 00:28:48 UTC,318933,66.318
2025-03-31 00:40:50 UTC,318934,66.038
2025-03-31 00:52:51 UTC,318935,65.576
2025-03-31 01:04:52 UTC,318936,65.306
2025-03-31 01:16:54 UTC,318937,64.793
2025-03-31 01:28:55 UTC,318938,64.312
2025-03-31 01:40:56 UTC,318939,63.484
2025-03-31 01:52:58 UTC,318940,62.616
2025-03-31 02:04:59 UTC,318941,62.278
2025-03-31 02:17:00 UTC,318942,61.437
2025-03-31 02:29:02 UTC,318943,60.442
2025-03-31 02:41:03 UTC,318944,59.776
2025-03-31 02:53:04 UTC,318945,59.262
2025-03-31 03:05:05 UTC,318946,58.192
2025-03-31 03:17:07 UTC,318947,58.013
2025-03-31 03:29:08 UTC,318948,57.471
2025-03-31 03:41:09 UTC,318949,57.017
2025-03-31 03:53:10 UTC,318950,56.983
2025-03-31 04:05:12 UTC,318951,57.141
2025-03-31 04:17:13 UTC,318952,57.491
2025-03-31 04:29:14 UTC,318953,57.655
2025-03-31 04:41:15 UTC,318954,58.005
2025-03-31 04:53:16 UTC,318955,59.030
2025-03-31 05:05:18 UTC,318956,58.668
2025-03-31 05:17:19 UTC,318957,59.203
2025-03-31 05:29:20 UTC,318958,59.377
2025-03-31 05:41:21 UTC,318959,59.409
2025-03-31 05:53:22 UTC,318960,59.524
2025-03-31 06:05:23 UTC,318961,59.285
2025-03-31 06:17:25 UTC,318962,59.250
2025-03-31 06:29:26 UTC,318963,59.108
2025-03-31 06:41:27 UTC,318964,59.787
2025-03-31 06:53:29 UTC,318965,62.078
2025-03-31 07:05:30 UTC,318966,63.713
2025-03-31 07:17:31 UTC,318967,65.230
2025-03-31 07:29:33 UTC,318968,66.926
2025-03-31 07:41:34 UTC,318969,67.611
2025-03-31 07:53:35 UTC,318970,68.698
2025-03-31 08:05:36 UTC,318971,68.617
2025-03-31 08:17:37 UTC,318972,68.681
2025-03-31 08:29:38 UTC,318973,69.202
2025-03-31 08:41:40 UTC,318974,69.629
2025-03-31 08:53:41 UTC,318975,68.554
2025-03-31 09:05:42 UTC,318976,66.818
2025-03-31 09:17:43 UTC,318977,64.830
2025-03-31 09:29:45 UTC,318978,64.689
2025-03-31 09:41:46 UTC,318979,58.851
2025-03-31 09:53:48 UTC,318980,59.199
2025-03-31 10:05:49 UTC,318981,58.295
2025-03-31 10:17:50 UTC,318982,58.209
2025-03-31 10:29:52 UTC,318983,57.699
2025-03-31 10:41:53 UTC,318984,57.841
2025-03-31 10:53:55 UTC,318985,52.565
2025-03-31 11:05:57 UTC,318986,52.752
2025-03-31 11:17:58 UTC,318987,51.640
2025-03-31 11:30:00 UTC,318988,52.045
2025-03-31 11:42:01 UTC,318989,51.435
2025-03-31 11:54:03 UTC,318990,51.609
2025-03-31 12:06:04 UTC,318991,53.217
2025-03-31 12:18:06 UTC,318992,51.005
2025-03-31 12:30:08 UTC,318993,49.733
2025-03-31 12:42:10 UTC,318994,49.145
2025-03-31 12:54:11 UTC,318995,47.973
2025-03-31 13:06:13 UTC,318996,47.524
2025-03-31 13:18:15 UTC,318997,47.813
2025-03-31 13:30:17 UTC,318998,46.747
2025-03-31 13:42:18 UTC,318999,46.517
2025-03-31 13:54:20 UTC,319000,47.351
2025-03-31 14:06:22 UTC,319001,47.536
2025-03-31 14:18:23 UTC,319002,46.503
2025-03-31 14:30:25 UTC,319003,45.984
2025-03-31 14:42:27 UTC,319004,48.298
2025-03-31 14:54:29 UTC,319005,44.985
2025-03-31 15:06:31 UTC,319006,43.572
2025-03-31 15:18:33 UTC,319007,44.175
2025-03-31 15:30:35 UTC,319008,44.042
2025-03-31 15:42:36 UTC,319009,43.989
2025-03-31 15:54:38 UTC,319010,44.322
2025-03-31 16:06:40 UTC,319011,47.746
2025-03-31 16:18:42 UTC,319012,43.970
2025-03-31 16:30:44 UTC,319013,44.415
2025-03-31 16:42:46 UTC,319014,45.155
2025-03-31 16:54:48 UTC,319015,45.395
2025-03-31 17:06:50 UTC,319016,44.974
2025-03-31 17:18:52 UTC,319017,44.293
2025-03-31 17:30:54 UTC,319018,46.502
2025-03-31 17:42:56 UTC,319019,45.901
2025-03-31 17:54:58 UTC,319020,44.957
2025-03-31 18:07:00 UTC,319021,45.252
2025-03-31 18:19:02 UTC,319022,45.400
2025-03-31 18:31:03 UTC,319023,45.600
2025-03-31 18:43:05 UTC,319024,45.837
2025-03-31 18:55:07 UTC,319025,46.286
